epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7892,3.89889,4.71981,4.16287,0.00012,0.00378,6e-05,1e-05,3.96262,4.29455,4.12807,0.00046641,0.00046641,0.00046641
2,30.5445,3.07894,3.6856,3.4073,0.00042,0.0068,0.00022,8e-05,3.73287,4.33864,4.06434,0.000936521,0.000936521,0.000936521
3,43.4948,2.52518,2.76839,2.42092,0.40177,0.06874,0.04101,0.01883,2.42963,3.29024,2.65312,0.00140034,0.00140034,0.00140034
4,54.526,2.22025,2.28608,2.06478,0.88638,0.1421,0.1687,0.08307,2.04079,2.37595,2.08439,0.00140071,0.00140071,0.00140071
5,63.9378,2.06225,1.99935,1.87068,0.65671,0.22807,0.22387,0.11183,1.86264,2.11126,1.9579,0.00139127,0.00139127,0.00139127
6,73.6073,1.90735,1.74322,1.72982,0.66021,0.22111,0.24082,0.12421,1.72829,1.8038,1.7904,0.00138184,0.00138184,0.00138184
7,84.1578,1.83304,1.61304,1.6394,0.72814,0.26126,0.29438,0.15907,1.61336,1.66085,1.69355,0.00137241,0.00137241,0.00137241
8,95.1572,1.753,1.52689,1.57527,0.77619,0.24344,0.32713,0.18015,1.56952,1.55872,1.59852,0.00136298,0.00136298,0.00136298
9,106.333,1.67292,1.37832,1.49074,0.47362,0.36158,0.36333,0.2037,1.54537,1.34863,1.57978,0.00135355,0.00135355,0.00135355
10,117.819,1.66068,1.35366,1.47288,0.76267,0.33199,0.41383,0.22906,1.47945,1.32997,1.49415,0.00134412,0.00134412,0.00134412
11,129.305,1.58285,1.27554,1.4527,0.39131,0.47557,0.41544,0.24476,1.43017,1.30742,1.48057,0.00133469,0.00133469,0.00133469
12,140.906,1.53682,1.23589,1.39768,0.75569,0.29985,0.37142,0.20839,1.49135,1.45178,1.53361,0.00132525,0.00132525,0.00132525
13,152.86,1.54368,1.19298,1.38258,0.77593,0.33656,0.43897,0.24555,1.39278,1.207,1.42293,0.00131582,0.00131582,0.00131582
14,164.69,1.48498,1.15468,1.372,0.75187,0.36405,0.44153,0.25875,1.39547,1.17988,1.44904,0.00130639,0.00130639,0.00130639
15,176.569,1.44038,1.08348,1.34091,0.6018,0.44389,0.45725,0.27042,1.39592,1.17813,1.41621,0.00129696,0.00129696,0.00129696
16,189.477,1.44328,1.08699,1.32822,0.55575,0.47694,0.48392,0.2818,1.32023,1.14377,1.37057,0.00128753,0.00128753,0.00128753
17,201.343,1.42021,1.06168,1.3282,0.62855,0.46479,0.49338,0.29376,1.2924,1.027,1.35163,0.0012781,0.0012781,0.0012781
18,214.468,1.42692,1.04269,1.31278,0.76764,0.45521,0.48717,0.27869,1.33914,1.10812,1.40225,0.00126867,0.00126867,0.00126867
19,228.137,1.3692,1.01061,1.29482,0.72875,0.46356,0.50153,0.29365,1.31675,1.10768,1.35947,0.00125923,0.00125923,0.00125923
20,240.527,1.38146,1.0069,1.29512,0.79551,0.46103,0.55154,0.32769,1.25483,0.97729,1.31842,0.0012498,0.0012498,0.0012498
21,252.682,1.38172,0.99396,1.27797,0.62978,0.52116,0.53065,0.31089,1.29664,1.05304,1.35821,0.00124037,0.00124037,0.00124037
